"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
38,"0","2","1",795883.666666667,"6","1",96,"2","1","1","5",48,737717,3586.12426757812,795883.6875,350000,3868.87915039062,795883.6875,3868.87915039062,"0","1",1131978.87310825,13.5872083067423
51,"1","2","0",70000,"6","2",100,"2","4","1","1",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","0",1131978.87310825,11.1562505210315
51,"0","2","1",1083333.33333333,"6","1",72,"2","1","0","4",45,1e+06,5185.18505859375,1083333.375,1e+06,5617.2841796875,1083333.375,5617.2841796875,"1","1",1131978.87310825,13.8955532656378
43,"0","2","1",3633333.33333333,"7","1",24,"2","1","1","5",48,3500000,17013.888671875,3633333.25,1600000,17662.037109375,3633333.25,17662.037109375,"0","1",1131978.87310825,15.1056610585313
47,"1","2","1",1300000,"6","2",204,"2","4","1","1",70,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1300000,4333.33349609375,"0","0",1131978.87310825,14.0778748224318
41,"0","2","1",1659806.66666667,"6","1",48,"2","2","0","5",40,1400000,8166.66650390625,1659806.625,1400000,9682.205078125,1659806.625,9682.205078125,"1","1",1131978.87310825,14.3222116876866
31,"0","2","1",826883.666666667,"6","3",24,"2","1","0","4",48,737717,3586.12426757812,826883.6875,350000,4019.57348632812,826883.6875,4019.57348632812,"1","0",1131978.87310825,13.625419295026
36,"0","2","1",825800.333333333,"5","9",156,"2","1","1","4",48,737717,3586.12426757812,825800.375,35000,4014.30737304688,825800.375,4014.30737304688,"0","0",1131978.87310825,13.624108296083
50,"0","2","1",910333.416666667,"6","1",108,"2","1","0","5",48,737717,3586.12426757812,910333.4375,737717,4425.23193359375,910333.4375,4425.23193359375,"1","1",1131978.87310825,13.7215662033293
42,"0","2","1",1087000,"6","2",12,"2","3","0","1",48,9e+05,4375,1087000,8e+05,5284.02783203125,1087000,5284.02783203125,"1","0",1131978.87310825,13.8989321661033
45,"0","2","1",1500000,"4","1",70,"2","1","1","3",45,1500000,7777.77783203125,1500000,1117460.30167986,7777.77783203125,1500000,7777.77783203125,"0","1",1131978.87310825,14.2209756660724
20,"0","2","1",786000,"7","3",4,"2","1","1","5",60,786000,3056.66674804688,786000,1117460.30167986,3056.66674804688,786000,3056.66674804688,"0","0",1131978.87310825,13.5747120714113
49,"0","2","1",1283140,"6","1",36,"2","1","1","4",48,1200000,5833.33349609375,1283140,0,6237.486328125,1283140,6237.486328125,"0","1",1131978.87310825,14.0648207568965
47,"1","2","0",3e+05,"6","1",24,"2","4","0","1",9,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,2e+05,5185.18505859375,"1","1",1131978.87310825,12.6115377536383
24,"1","2","0",850000,"6","1",36,"2","4","1","1",60,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,850000,3305.5556640625,"0","1",1131978.87310825,13.6529916284665
27,"0","2","1",1333140,"7","3",12,"2","1","1","5",42,1200000,6666.66650390625,1333140,6e+05,7406.33349609375,1333140,7406.33349609375,"0","0",1131978.87310825,14.1030476199025
24,"0","2","1",3050000,"7","3",12,"1","1","0","4",40,2300000,13416.6669921875,3050000,1800000,17791.666015625,3050000,17791.666015625,"1","0",1131978.87310825,14.9306521485836
47,"0","2","1",2283333.33333333,"7","1",3,"2","1","0","5",84,1700000,4722.22216796875,2283333.25,4e+05,6342.59228515625,2283333.25,6342.59228515625,"1","1",1131978.87310825,14.6411469215703
55,"1","2","1",1800000,"5","2",360,"2","4","1","1",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1800000,8750,"0","0",1131978.87310825,14.4032972228664
21,"0","3","0",350000,"7","5",1,"2","1","1","3",15,350000,5444.4443359375,350000,1117460.30167986,5444.4443359375,350000,5444.4443359375,"0","0",1636072.34663713,12.7656884334656
29,"0","2","0",820857,"6","1",18,"2","1","1","2",48,737717,3586.12426757812,820857,0,3990.27709960938,820857,3990.27709960938,"0","1",1131978.87310825,13.6181041954319
63,"1","3","0",1300000,"6","1",120,"2","4","0","1",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,5e+05,2430.5556640625,"1","1",1636072.34663713,14.0778748224318
35,"0","2","1",1513140,"4","3",38,"2","1","1","5",56,1200000,5000,1513140,1200000,6304.75,1513140,6304.75,"0","0",1131978.87310825,14.2296975198843
56,"0","2","1",882333.416666667,"6","1",142,"2","1","0","5",48,737717,3586.12426757812,882333.4375,737717,4289.12109375,882333.4375,4289.12109375,"1","1",1131978.87310825,13.6903252869877
53,"0","2","1",1275000,"6","1",112,"2","1","0","5",48,1200000,5833.33349609375,1275000,9e+05,6197.91650390625,1275000,6197.91650390625,"1","1",1131978.87310825,14.0584567365747
23,"0","2","1",1625000,"7","3",8,"2","1","0","5",48,1500000,7291.66650390625,1625000,1500000,7899.3056640625,1625000,7899.3056640625,"1","0",1131978.87310825,14.301018373746
41,"0","2","1",820857,"6","1",2,"2","1","1","3",49,737717,3512.93798828125,820857,0,3908.8427734375,820857,3908.8427734375,"0","1",1131978.87310825,13.6181041954319
